Вопрос,Правильный,Неверный1,Неверный2,Неверный3,Картинка
Какой российский модуль на МКС самый старый ("Заря")?,Первый модуль (1998),Звезда,Поиск,Рассвет,zarya_module.jpg
Какая частная компания разрабатывает скафандры Axiom для Луны?,Axiom Space,SpaceX,Boeing,Blue Origin,axiom_spacesuit.jpg
Как называется астероид с высоким содержанием металлов (никель-железо)?,M-тип астероид,S-тип,C-тип,D-тип,m_type_asteroid.jpg
Какая планета имеет самую большую гору (Олимп)?,Марс,Земля,Венера,Меркурий,olympus_mars.jpg
Сколько времени длится год на Уране?,84 земных года,165 лет,12 лет,29 лет,uranus_year.jpg
Как называется второй по величине спутник Нептуна?,Протей,Тритон,Нереида,Лариса,proteus_moon.jpg
Какой зонд впервые пролетел мимо астероида Гаспра?,Галилео (NASA),Кассини,Вояджер-2,NEAR,galileo_gaspra.jpg
Какой тип звездных остатков имеет массу до 1.4 массы Солнца?,Белый карлик (предел Чандрасекара),Нейтронная звезда,Черная дыра,Бозонная звезда,chandrasekhar_limit.jpg
Как называются метеориты, найденные в Антарктиде?,Антарктические метеориты,Ледяные метеориты,Глетчерные камни,Сидеролиты,antarctic_meteorite.jpg
Какая страна первой посадила зонд на обратную сторону Луны (Chang'e-4)?,Китай,Россия,США,Индия,change4_farside.jpg
Какой химический элемент даёт красный цвет туманностям?,Водород (H-альфа),Кислород,Азот,Гелий,h_alpha_nebula.jpg
Как звали собаку, вернувшуюся из космоса невредимой?,Стрелка и Белка (обе),Лайка,Звездочка,Ветерок,strelka_belka.jpg
Как называется тип орбиты, при которой спутник пересекает полюса?,Полярная орбита,Экваториальная,Наклонная,Синхронная,polar_orbit.jpg
Какой российский космический телескоп изучает рентгеновские источники?,Спектр-РГ (eROSITA),Радиоастрон,Миллиметрон,Гамма-400,spektr_rg_erosita.jpg
Сколько астероидов с диаметром более 1 км находится в Солнечной системе (приблизительно)?,~1 миллион,10 000,100 миллионов,500,million_asteroids.jpg
Какой спутник Земли имеет систему LIDAR для картографии?,LRO,Lunar Reconnaissance Orbiter,Чандраян-1,Селена,lro_lidar.jpg
Как называется проект NASA по захвату астероида (был отменен)?,ARM (Asteroid Redirect Mission),DART,Hera,OSIRIS-REx,asteroid_redirect.jpg
Какой советский луноход работал дольше всех (Луноход-2)?,4 месяца,1 год,2 недели,2 года,lunokhod2_long.jpg
Какой космический аппарат прислал фото колец Нептуна в 1989 году?,Вояджер-2,Вояджер-1,Кассини,Новые Горизонты,voyager2_neptune.jpg
Как называется слой ионосферы, отражающий радиоволны?,Слой E (Кеннелли-Хевисайда),Тропопауза,Мезопауза,Экзосфера,kennelly_heaviside.jpg
Какое место по яркости на небе занимает Юпитер (после Солнца, Луны, Венеры)?,4-е,3-е,2-е,5-е,jupiter_brightness.jpg
Какой двигатель создаёт тягу на принципе отдачи газов?,Реактивный двигатель,Ионный,Плазменный,Фотонный,rocket_engine_reaction.jpg
Как называются "горячие юпитеры",экзопланеты?,Газовые гиганты на близкой орбите к звезде,Ледяные гиганты,Суперземли,Мини-нептуны,hot_jupiter.jpg
Какой космический телескоп ищет экзопланеты транзитным методом?,TESS,Кеплер,Планк,Хаббл,tess_transit.jpg
Как называется российский проект многоразовой ракеты "Амур" (метан)?,"Амур-СПГ","Корона","Малахит","Феникс",amur_spg.jpg
Сколько длится солнечный цикл активности?,11 лет,22 года,1 год,100 лет,solar_cycle_11.jpg
Какой элемент доминирует на Церере?,Вода и глинистые минералы,Железо,Кремний,Магний,ceres_water.jpg
Какая миссия доставила образцы с астероида Бенну в 2023 году?,OSIRIS-REx,Хаябуса-2,Dawn,NEAR,osiris_rex_bennu.jpg
Как называется бортпроводник в космосе (профессия)?,Бортинженер,Космический турист,Командир,Специалист миссии,flight_engineer.jpg
Какой модуль стал первым жилым на МКС (российский)?,Звезда,Заря,Поиск,Рассвет,zvezda_module.jpg
Какой газовый гигант наиболее близок к Солнцу по составу?,Юпитер,Сатурн,Уран,Нептун,jupiter_sun_composition.jpg
Как называется результат столкновения галактик?,Галактическое слияние,Вспышка звездообразования,Эллиптическая галактика,Балдж,galactic_merger.jpg
Какой космический аппарат сфотографировал Землю как "бледно-синюю точку"?,Вояджер-1 (1990),Вояджер-2,Пионер-11,Кассини,pale_blue_dot.jpg
Какой элемент использован в ранцах маневрирования астронавтов (MMU)?,Сжатый азот,Кислород,Водород,Гелий,mmu_nitrogen.jpg
Сколько лун у Сатурна (подтвержденных на 2024 год)?,146,82,53,100+,saturn_moons_146.jpg
Как называется знаменитый кратер на Земле от астероида (Мексика)?,Чикшулуб,Баррингер,Вредефорт,Маникуаган,chicxulub_crater.jpg
Какой американский астронавт провел в космосе 371 день суммарно?,Скотт Келли,Пегги Уитсон,Крис Хэдфилд,Базз Олдрин,scott_kelly.jpg
Как называется самый яркий квазар в ультрафиолете?,3C 273,TON 618,APM 08279+5255,PG 0052+251,uv_quasar_3c273.jpg
Кто был первым человеком в космосе?,Юрий Гагарин,Герман Титов,Нил Армстронг,Алексей Леонов,gagarin_first.jpg
Как назывался космический корабль Юрия Гагарина?,Восток-1,Восход-1,Союз-1,Восток-2,vostok1_spacecraft.jpg
В каком году был запущен первый искусственный спутник Земли?,1957,1956,1958,1955,sputnik_1957.jpg
Кто был главным конструктором советской ракетно-космической техники?,Сергей Королёв,Валентин Глушко,Владимир Челомей,Михаил Янгель,korolev_designer.jpg
Как называлась первая в мире женщина-космонавт?,Валентина Терешкова,Светлана Савицкая,Елена Кондакова,Юлия Пересильд,tereshkova_first_woman.jpg
Какой космический корабль первым состыковался с другим в пилотируемом режиме?,Союз-4 и Союз-5,Аполлон и Союз,Джемини-8,Восток-3 и Восток-4,soyuz4_5_docking.jpg
Кто первым вышел в открытый космос?,Алексей Леонов,Эдвин Уайт,Юрий Гагарин,Владимир Комаров,leonov_spacewalk.jpg
Как назывался американский лунный модуль "Аполлона-11"?,Орел,Колумбия,Интрепид,Одиссей,eagle_lunar_module.jpg
Какой американский астронавт сделал знаменитую фразу "Это один маленький шаг..."?,Нил Армстронг,Базз Олдрин,Майкл Коллинз,Пит Конрад,armstrong_step.jpg
В каком году произошла катастрофа "Аполлона-13"?,1970,1969,1971,1968,apollo13_1970.jpg
Как называлась последняя миссия человека на Луну?,Аполлон-17,Аполлон-16,Аполлон-15,Аполлон-14,apollo17_last.jpg
Кто был первым космонавтом, совершившим полет в космос более одного раза?,Герман Титов,Юрий Гагарин,Владимир Комаров,Павел Попович,titov_twice.jpg
Как называется знаменитый советский (российский) спускаемый аппарат, используемый до сих пор?,Союз,Восток,Восход,Прогресс,soyuz_capsule.jpg
Какой космонавт установил рекорд по длительности одного полета (437 дней)?,Валерий Поляков,Сергей Крикалёв,Геннадий Падалка,Пётр Дубров,polyakov_437days.jpg
Как называлась американская программа доставки человека на Луну?,Аполлон,Меркурий,Джемини,Артемида,apollo_program.jpg
Какой американский астронавт был первым, кто вышел в открытый космос (США)?,Эдвин Уайт,Нил Армстронг,Базз Олдрин,Джон Гленн,ed_white_eva.jpg
Какая ракета-носитель использовалась для программы "Аполлон"?,Сатурн-5,Сатурн-1B,Титан-II,Атлас-В,saturn5_rocket.jpg
Как назывался советский аналог "Спейс Шаттла"?,Буран,Молния,Энергия,Байкал,buran_shuttle.jpg
Кто был первым космонавтом из Германии на советском корабле?,Зигмунд Йен,Томас Райтер,Ульф Мербольд,Александр Герст,jaehn_germany.jpg
Какой космический корабль доставил на МКС первый модуль "Заря"?,Спейс Шаттл "Индевор",Союз,Протон,Атлантис,endeavour_zarya.jpg
Кто был самым молодым космонавтом в истории (25 лет)?,Герман Титов,Юрий Гагарин,Владимир Комаров,Валентина Терешкова,titov_youngest.jpg
Какая станция была первой в мире долговременной орбитальной станцией?,Салют-1,Скайлэб,Мир,МКС,salyut1.jpg
В каком году была запущена станция "Мир"?,1986,1971,1973,1990,mir_1986.jpg
Как звали самого опытного космонавта (6 полетов, 803 дня в космосе)?,Сергей Крикалёв,Геннадий Падалка,Юрий Маленченко,Фёдор Юрчихин,krikalev_record.jpg
Какой космический аппарат был первым, достигшим Луны (жесткая посадка)?,Луна-2,Луна-1,Луна-3,Луна-9,luna2_first_hard_landing.jpg
Какая страна запустила первый геостационарный спутник (Syncom-2)?,США,СССР,Китай,Франция,syncom2_usa.jpg
Как называется российский грузовой корабль для МКС?,Прогресс,Союз,Протон,Заря,progress_cargo.jpg
Кто был первым космонавтом, совершившим выход в космос из станции "Мир"?,Владимир Титов,Муса Манаров,Александр Серебров,Леонид Кизим,titov_mir_spacewalk.jpg
Какой космический челнок (шаттл) первым совершил полет в 1981 году?,Колумбия,Атлантис,Дискавери,Индевор,columbia_sts1.jpg
Какой шаттл взорвался при старте в 1986 году?,Челленджер,Колумбия,Атлантис,Индевор,challenger_1986.jpg
Какой шаттл разбился при посадке в 2003 году?,Колумбия,Челленджер,Дискавери,Атлантис,columbia_2003.jpg
Как звали первого астронавта-афроамериканца (сша)?,Гай Блуфорд,Майкл Андерсон,Бенджамин Дэвис,Рональд Макнейр,bluford_african.jpg
Как звали первого астронавта-китайца в космосе?,Ян Ливэй,Чжай Чжиган,Лю Ян,Фэй Цзюньлун,yang_liwei.jpg
Какая миссия "Аполлон" была неудачной и не села на Луну из-за взрыва?,Аполлон-13,Аполлон-12,Аполлон-10,Аполлон-14,apollo13_failure.jpg
Какой космонавт был первым, кто управлял транспортным кораблем вручную (Союз-1)?,Владимир Комаров,Юрий Гагарин,Алексей Леонов,Павел Беляев,komarov_manual.jpg
Кто был первым космонавтом, погибшим при выполнении полета (Союз-1)?,Владимир Комаров,Юрий Гагарин,Павел Беляев,Григорий Нелюбов,komarov_death.jpg
Как назывался первый пилотируемый корабль США?,Меркурий-Редстоун-3 (Freedom 7),Джемини-3,Аполлон-1,Меркурий-Атлас-6,mercury_freedom7.jpg
Как звали первого астронавта США на орбите (три витка)?,Джон Гленн,Алан Шепард,Скотт Карпентер,Уолли Ширра,glenn_orbital.jpg
Кто был первым космонавтом, выполнившим стыковку в космосе (вручную)?,Алексей Елисеев и Евгений Хрунов,Владимир Шаталов,Борис Волынов,Георгий Береговой,eliseev_docking.jpg
Как называется российский скафандр для выхода в открытый космос?,Орлан,Сокол,Беркут,Кречет,orlan_spacesuit.jpg
Какой американский скафандр использовался на Луне?,A7L (Apollo),EMU,Sokol,Orlan,a7l_spacesuit.jpg
Какая ракета-носитель самая мощная из когда-либо успешно запущенных?,Сатурн-5,Энергия,SLS (Block 1),Falcon Heavy,saturn5_most_powerful.jpg
Как назывался советский проект по многоразовой системе "Буран"?,Энергия-Буран,Молния,Спираль,Заря,energia_buran.jpg
Кто был первым космонавтом, совершившим полет без скафандра?,Владимир Комаров (Союз-1),Юрий Гагарин (Восток-1),Герман Титов,Павел Попович,komarov_no_suit.jpg (фактически Восток-1 был без скафандра? Нет, Гагарин был в СК-1. Первый без скафандра,Каманин? Лучше точный факт: Первый полет без скафандра,Восход-1 (1964) Комаров, Феоктистов, Егоров),первый полет без скафандра,Восход-1 все трое,voskhod1_no_suit.jpg (в ответе: Владимир Комаров, Константин Феоктистов, Борис Егоров)
(Упростим) Кто был командиром "Восхода-1" (первый полет без скафандров)?,Владимир Комаров,Павел Беляев,Георгий Береговой,Борис Волынов,komarov_voskhod1.jpg
Как назывался первый лунный ровер, доставленный на Луну?,Луноход-1 (СССР),LRV (Аполлон),Лунный вездеход,Селеноход,lunokhod1_first.jpg
Какой космический аппарат первым совершил мягкую посадку на Луне?,Луна-9,Луна-2,Луна-10,Сервейер-1,luna9_soft_landing.jpg
Как называлась программа СССР по отправке человека на Луну?,Н1-Л3,УР-500К,Зонд,Союз 7К-Л1,n1_l3_program.jpg
Кто был главным конструктором "лунной гонки" в США?,Вернер фон Браун,Роберт Годдард,Джин Кранц,Кристофер Крафт,von_braun.jpg
Как назывались тестовые беспилотные полеты "Союза" для отработки стыковки?,Космос-186/188,Космос-212/213,Союз-2/3,Союз-3,cosmos186_188.jpg
Какой советский космический корабль мог нести 3 космонавта без скафандров?,Восход,Восток,Союз,Прогресс,voskhod_3crew.jpg
Какая женщина-космонавт совершила выход в открытый космос?,Светлана Савицкая,Валентина Терешкова,Елена Кондакова,Анна Кикина,savitskaya_spacewalk.jpg
Как звали первую американскую женщину в космосе?,Салли Райд,Кэтрин Салливан,Мэй Джемисон,Пэгги Уитсон,sally_ride_first.jpg
Кто был первым космонавтом, запущенным с космодрома "Плесецк"?,Георгий Береговой,Владимир Шаталов,Борис Волынов,Павел Попович,beregovoy_plesetsk.jpg
Как называлась американская программа пилотируемых полетов до "Аполлона"?,Джемини,Меркурий,Орион,Артемида,gemini_program_before.jpg
Какой астронавт играл в гольф на Луне?,Алан Шепард (Аполлон-14),Нил Армстронг,Эдвин Олдрин,Чарльз Дьюк,shepard_golf.jpg
Как звали самого пожилого космонавта в космосе?,Джон Гленн (77 лет, STS-95),Пегги Уитсон,Скотт Келли,Юрий Гагарин,glenn_oldest.jpg
Какой космический корабль называется "Клипер" (проект)?,Многоразовый корабль РКК Энергия,Dream Chaser,Starship,Орел,clipper_russia.jpg
Какой индийский зонд обнаружил воду на Луне в 2008 году?,Чандраян-1,Чандраян-2,Мангальян,Чандраян-3,chandrayaan1_water.jpg
Как назывались две собаки, успешно вернувшиеся из космоса?,Белка и Стрелка,Лайка и Звездочка,Жулька и Альфа,Ветерок и Уголек,belka_strelka.jpg
Какой космонавт пробыл в космосе 803 дня суммарно (рекорд)?,Геннадий Падалка,Сергей Крикалёв,Валерий Поляков,Юрий Маленченко,padalka_803days.jpg
Какой корабль доставил на Землю первых космонавтов после высадки на Луну (Аполлон-11)?,Командный модуль "Колумбия",Лунный модуль "Орел",Шаттл,Союз,columbia_cm.jpg
Как называется орбитальный модуль, созданный компанией SpaceX для туристов?,Crew Dragon,Starship,Dragon XL,Dragon 2,crew_dragon.jpg
Какой российский скафандр используется внутри корабля "Союз"?,Сокол,Орлан,Беркут,Стриж,sokol_spacesuit.jpg
Кто был первым космонавтом, отметившим день рождения в космосе?,Юрий Гагарин,Герман Титов,Валентина Терешкова,Владимир Комаров,titov_birthday.jpg
Какой космонавт-художник рисовал в космосе (первый)?,Алексей Леонов,Юрий Гагарин,Геннадий Падалка,Сергей Рязанский,leonov_painter.jpg
В каком году состоялась стыковка "Союз-Аполлон" (ЭПАС)?,1975,1972,1978,1981,epas_1975.jpg
Как назывался первый ядерный ракетный двигатель (СССР)?,РД-0410,НК-33,РД-180,ЯРД-1,rd0410_nuclear.jpg
Какая российская ракета-носитель использует метан (проект)?,Амур-СПГ,Ангара-А5В,Союз-5,Енисей,amur_spg_methane.jpg
Кто из американских астронавтов имеет наибольшее суммарное время в космосе?,Пегги Уитсон (675 дней),Скотт Келли,Крис Хэдфилд,Джон Гленн,whitson_record.jpg
Какой советский космический аппарат впервые сфотографировал обратную сторону Луны?,Луна-3,Луна-2,Луна-1,Луна-10,luna3_farside.jpg
Как называется российский космический буксир (ядерный)?,Зевс (Транспортно-энергетический модуль),Гром,Атом,Феникс,zeus_nuclear_tug.jpg
Какой американский разгонный блок использовался для доставки зондов к планетам?,Центавр (Centaur),Фрегат,Бриз-М,Стар-48,centaur_upper.jpg
Кто был первым космонавтом, женившимся после полета, но обручившимся по радио?,Юрий Гагарин,Алексей Леонов,Герман Титов,Павел Беляев,titov_radio_wedding.jpg
Как называется технология "возврат первой ступени" от SpaceX?,Пропульсивная посадка,Аэродинамический спуск,Парашютная система,Автономное возвращение,propulsive_landing.jpg
Какой двигатель установлен на первой ступени Falcon 9?,Merlin 1D,Raptor,BE-4,RD-180,merlin1d_engine.jpg
Какая ракета SpaceX полностью многоразовая (в разработке)?,Starship,Falcon Heavy,Falcon 9,Dragon,starship_fully_reusable.jpg
Как звали американского астронавта, который потерял перчатку во время выхода?,Эдвард Уайт,Брюс Маккэндлесс,Майкл Коллинз,Юджин Сернан,white_glove_loss.jpg
Какая собака была первой, отправившейся в космос и погибшей?,Лайка (Спутник-2),Стрелка,Белка,Жучка,laika_death.jpg
Какой российский лунный посадочный модуль разрабатывается для миссии "Луна-27"?,Луна-27 (посадочный),Луна-25,Луна-26,Луна-28,luna27_lander.jpg
Кто был первым астронавтом Европейского космического агентства (ЕКА)?,Ульф Мербольд (Германия),Томас Райтер,Клод Николье,Жан-Франсуа Клервуа,merbold_esa.jpg
Какой корабль выполнил спасение экипажа МКС в 2023 году (замена "Союза")?,SpaceX Crew Dragon (Crew-5),Союз МС-22,Прогресс,Белый лебедь,dragon_rescue.jpg
Как называется прибор для дозиметрии на МКС?,Дозиметр,Радиометр,Спектрометр,Детектор,dosimeter_iss.jpg
Какой космический аппарат НАСА сейчас летит к Европе (спутник Юпитера)?,Europa Clipper,JUICE,Галилео,Кассини,europa_clipper.jpg
Какая китайская миссия доставила грунт с обратной стороны Луны?,Чанъэ-6,Чанъэ-5,Чанъэ-4,Чанъэ-7,change6_sample.jpg
Какой рекорд скорости принадлежит пилотируемому кораблю "Аполлон-10"?,39 896 км/ч,28 000 км/ч,40 000 км/ч,35 000 км/ч,apollo10_speed_record.jpg
Какой американский астронавт сделал "фото Земли с Луны" (Earthrise)?,Уильям Андерс (Аполлон-8),Нил Армстронг,Базз Олдрин,Фрэнк Борман,anders_earthrise.jpg
Как называется российский проект сверхтяжелой ракеты "Енисей"?,Был отменен в 2021 году,Энергия-5В,Союз-7,Амур-СПГ,yenisei_cancelled.jpg
Кто был первым и единственным космонавтом, совершившим полет на "Восходе-2"?,Павел Беляев и Алексей Леонов,Павел Беляев, Алексей Леонов,Владимир Комаров,Георгий Береговой,voskhod2_crew.jpg
Как называется двигатель разработки Blue Origin (BE-4)?,BE-4,Raptor,Merlin,RD-180,be4_engine.jpg
Какой параметр измеряет "гравиметрическая карта" от GRACE?,Изменение гравитационного поля Земли,Магнитное поле,Сейсмическую активность,Климат,grace_gravity.jpg
Какой самый тяжелый искусственный спутник находится на орбите Земли?,МКС (~450 тонн),Хаббл,Спектр-РГ,Envisat,iss_heaviest.jpg
Как называется российский модуль, пристыкованный к МКС в 2021 году ("Наука")?,Многофункциональный лабораторный модуль "Наука","Причал","Рассвет","Звезда",nauka_2021.jpg
Какой космический корабль "Прогресс" имеет грузоподъемность ~2.5 тонны?,Прогресс МС,Прогресс М,Прогресс М1,Прогресс М2,progress_ms_cargo.jpg
Кто был первым космонавтом, дважды Героем Советского Союза (первый среди дважды)?,Владимир Комаров (посмертно),Юрий Гагарин,Алексей Леонов,Герман Титов,komarov_twice.jpg
Какой российский центр подготовки космонавтов носит имя Гагарина?,ЦПК им. Ю.А. Гагарина,ЦНИИмаш,РКК Энергия,ИМБП РАН,gagarin_ctc.jpg
Какой космодром находится в Амурской области (Россия)?,Восточный,Плесецк,Байконур,Капустин Яр,vostochny_cosmodrome.jpg
Какой спутник был запущен первым в мире с завода "Арсенал"?,Космос-1,Спутник-1,Спутник-2,Протон-1,cosmos1_arsenal.jpg
Какие США астронавты работали с советской станцией "Мир" (программа "Мир-Шаттл")?,Норман Тагард, Шеннон Лучид и др.,Джон Гленн,Нил Армстронг,Салли Райд,tagard_mir.jpg
Какой космический аппарат первым провел гравитационный маневр у Юпитера?,Пионер-10,Вояджер-1,Вояджер-2,Пионер-11,pioneer10_gravity.jpg
Как называется спутник "Луна-25", разбившийся в 2023 году?,Российский посадочный модуль,Индийский зонд,Китайский луноход,Американский орбитер,luna25_crash.jpg
Какой американский корабль "Орион" совершил беспилотный облет Луны (Artemis I)?,Орион,Аполлон,Артемида,Одиссей,orion_artemis1.jpg
Какой российский космонавт беспилотно управлял кораблем "Союз МС-18"?,Олег Новицкий,Сергей Рыжиков,Антон Шкаплеров,Пётр Дубров,novitsky_remote.jpg
Завершающий вопрос: Как звали первого астронавта, который вышел в отрытый космос без привязи (MMU)?,Брюс Маккэндлесс,Роберт Гибсон,Джозеф Аллен,Дейл Гарднер,mccandless_free_floating.jpg